houseid,property_type,beds,baths,sqft,lot_size,year_built,zipcode,latitude,longitude,list_price
3581,Single Family Residential,4.0,2.5,2520.0,11971.0,1960.0,77096,29.6804346,-95.4518591,489000
3582,Single Family Residential,5.0,4.0,4172.0,7800.0,2006.0,77377,30.0041252,-95.5889846,475000
3583,Single Family Residential,3.0,2.0,1824.0,6331.0,1950.0,77009,29.7857715,-95.3536203,375000
3586,Single Family Residential,3.0,2.0,1634.0,8350.0,1955.0,77096,29.6646679,-95.4725999,420000
3587,Single Family Residential,3.0,2.5,1801.0,,2022.0,77043,29.79234,-95.573933,459995
3589,Single Family Residential,3.0,2.0,1230.0,,2022.0,77365,30.095284,-95.185261,245000
3591,Single Family Residential,3.0,3.0,1610.0,7315.0,1979.0,77071,29.6409325,-95.5228006,225000
3595,Single Family Residential,4.0,3.0,2108.0,6566.0,2012.0,77049,29.8081684,-95.1387173,285000
3596,Single Family Residential,5.0,5.5,8267.0,94380.0,2004.0,77346,30.0186201,-95.1870426,2599000
3597,Single Family Residential,4.0,3.5,4372.0,9361.0,1995.0,77077,29.7690635,-95.6280093,975000
3598,Single Family Residential,3.0,2.5,1537.0,11760.0,1952.0,77092,29.8127528,-95.4503719,525000
3599,Single Family Residential,3.0,2.0,1638.0,3746.0,1984.0,77077,29.7602736,-95.6145637,315000
3600,Single Family Residential,3.0,2.5,1480.0,8748.0,1955.0,77016,29.8354333,-95.3094132,134000
3601,Single Family Residential,3.0,2.5,2200.0,12000.0,1970.0,77070,29.9727405,-95.5797175,332900
3602,Single Family Residential,4.0,2.0,2300.0,7524.0,1970.0,77015,29.7931749,-95.1665456,285000
3607,Single Family Residential,4.0,2.5,2400.0,8600.0,1985.0,77070,29.9658591,-95.5774198,359900
3609,Single Family Residential,3.0,2.0,1213.0,,2022.0,77093,29.8318185,-95.3471424,239000
3611,Single Family Residential,2.0,2.5,1586.0,1521.0,2016.0,77003,29.7508326,-95.3363556,345000
3612,Single Family Residential,4.0,3.5,3603.0,14208.0,2017.0,77044,29.9807678,-95.1478087,475000
3613,Single Family Residential,4.0,4.0,4300.0,13131.0,1983.0,77094,29.7660106,-95.7139823,639702
3614,Single Family Residential,4.0,2.5,2371.0,5191.0,1998.0,77498,29.6602813,-95.621953,289900
3615,Single Family Residential,5.0,3.5,3841.0,10620.0,2010.0,77494,29.715037,-95.8285023,650000
3618,Single Family Residential,2.0,2.0,1272.0,6150.0,1940.0,77009,29.812538,-95.3895993,499000
3619,Single Family Residential,3.0,2.5,2094.0,3111.0,2005.0,77018,29.8186965,-95.4132432,399500
3620,Single Family Residential,4.0,2.0,2476.0,11560.0,1961.0,77063,29.7291452,-95.5372299,399500
3621,Single Family Residential,4.0,4.5,5604.0,19907.0,1940.0,77030,29.699459,-95.4147775,2079900
3623,Single Family Residential,5.0,3.0,2590.0,12750.0,1980.0,77532,29.984975,-95.1160515,319000
3624,Single Family Residential,4.0,2.0,2070.0,7150.0,1981.0,77084,29.8670621,-95.6360595,260000
3625,Single Family Residential,3.0,2.0,1240.0,9180.0,1950.0,77016,29.8853531,-95.3055788,210000
3627,Single Family Residential,3.0,3.5,2892.0,2835.0,2001.0,77019,29.747519,-95.4169469,880000
